epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.878,1.89565,3.1718,1.37931,0.46522,0.51282,0.51112,0.22976,1.46039,4.72496,1.17596,0.00047598,0.00047598,0.00047598
2,292.648,1.81075,1.77306,1.39337,0.67028,0.65015,0.6971,0.33558,1.44016,3.61476,1.18193,0.000933458,0.000933458,0.000933458
3,431.113,1.77522,1.60436,1.39034,0.58127,0.62348,0.62537,0.3136,1.40947,3.34678,1.16738,0.00137207,0.00137207,0.00137207
4,568.652,1.72902,1.48441,1.37246,0.75461,0.7096,0.79458,0.41356,1.3398,4.13882,1.14962,0.00134412,0.00134412,0.00134412
5,706.382,1.70146,1.41759,1.35207,0.77758,0.7298,0.80241,0.39957,1.34612,3.15695,1.14238,0.00131582,0.00131582,0.00131582
6,843.652,1.66417,1.36183,1.32234,0.72581,0.69641,0.77516,0.41628,1.33669,2.74752,1.13231,0.00128753,0.00128753,0.00128753
7,981.912,1.64349,1.3225,1.3105,0.75061,0.76886,0.81689,0.4393,1.30491,1.8207,1.11834,0.00125923,0.00125923,0.00125923
8,1120.2,1.62799,1.27935,1.30551,0.80438,0.82878,0.83846,0.45697,1.28494,2.61983,1.09502,0.00123094,0.00123094,0.00123094
9,1257.83,1.60313,1.23458,1.29648,0.77614,0.81781,0.86813,0.48249,1.24881,2.00409,1.07613,0.00120265,0.00120265,0.00120265
10,1396.15,1.59236,1.19883,1.28244,0.81022,0.86781,0.90017,0.49939,1.23405,2.17648,1.08649,0.00117435,0.00117435,0.00117435
11,1534.8,1.56831,1.18589,1.28189,0.82302,0.83788,0.89199,0.49226,1.21191,2.31046,1.06061,0.00114606,0.00114606,0.00114606
12,1673.26,1.5645,1.16761,1.26948,0.87165,0.83453,0.9078,0.50942,1.23441,1.79188,1.06711,0.00111776,0.00111776,0.00111776
13,1811.41,1.54233,1.15646,1.25594,0.8594,0.88618,0.91063,0.53011,1.20601,1.81951,1.0495,0.00108947,0.00108947,0.00108947
